timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1539620257.169,-168.945,92.773,60.547,-251.953,34.668,0
1539620257.173,-163.574,92.285,56.152,-252.930,23.438,0
1539620257.176,-164.062,90.820,55.176,-257.324,26.855,0
1539620257.180,-167.969,84.961,56.641,-257.812,39.551,0
1539620257.184,-165.039,79.590,57.129,-250.488,35.156,0
1539620257.188,-159.180,78.613,57.129,-244.141,5.859,0
1539620257.192,-159.180,75.195,53.711,-247.559,61.035,0
1539620257.196,-149.902,71.289,53.223,-249.512,97.656,0
1539620257.200,-141.602,69.824,52.246,-242.188,41.016,0
1539620257.204,-139.648,62.012,53.223,-235.352,12.207,0
1539620257.208,-132.324,61.035,52.246,-230.957,40.039,0
1539620257.212,-125.000,62.988,46.387,-229.980,31.738,0
1539620257.215,-112.793,56.152,46.387,-216.309,27.832,0
1539620257.219,-101.074,48.340,52.246,-200.195,28.320,0
1539620257.223,-93.750,42.480,53.711,-194.336,38.086,0
1539620257.227,-85.449,36.621,49.316,-187.988,16.602,0
1539620257.231,-69.824,34.668,42.480,-185.059,-42.969,0
1539620257.235,-54.688,28.809,41.016,-168.945,25.879,0
1539620257.239,-41.992,21.973,41.992,-154.785,62.012,0
1539620257.243,-22.949,17.578,37.598,-142.578,-21.484,0
1539620257.247,-8.789,9.277,38.574,-129.395,-43.457,0
1539620257.251,7.324,5.371,39.551,-116.211,18.555,0
1539620257.255,23.926,5.859,34.180,-103.516,53.711,0
1539620257.258,34.180,4.883,33.691,-94.238,27.344,0
1539620257.262,39.062,-0.977,35.156,-83.984,-10.254,0
1539620257.266,43.945,-4.395,35.156,-70.801,15.137,0
1539620257.270,52.246,-5.859,32.715,-57.617,46.387,0
1539620257.274,55.664,-7.812,28.320,-49.805,46.875,0
1539620257.278,61.523,-6.836,27.832,-48.828,68.848,0
1539620257.282,70.801,-8.789,30.273,-41.992,61.523,0
1539620257.286,77.148,-9.766,29.297,-31.250,45.898,0
1539620257.290,83.984,-10.742,23.926,-28.809,57.617,0
1539620257.294,86.426,-10.254,26.855,-31.250,43.457,0
1539620257.298,91.309,-8.301,29.785,-24.902,-10.742,0
1539620257.301,93.750,-8.301,28.809,-17.578,-40.527,0
1539620257.305,97.168,-7.324,26.367,-10.254,-41.016,0
1539620257.309,101.562,-5.371,26.367,1.953,-0.977,0
1539620257.313,106.445,-1.465,27.344,8.789,16.113,0
1539620257.317,104.004,-2.441,25.879,7.324,13.672,0
1539620257.321,98.633,-3.906,20.020,15.137,46.387,0
