timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1539627904.321,15.625,34.180,46.387,64.453,20.508,0
1539627904.324,17.578,30.762,40.527,39.551,-7.812,0
1539627904.328,9.766,31.738,36.133,24.902,-5.371,0
1539627904.332,17.578,41.016,29.297,45.898,59.570,0
1539627904.336,25.879,37.109,26.367,60.547,83.984,0
1539627904.340,31.738,27.832,34.668,52.734,48.340,0
1539627904.344,36.133,36.133,41.504,27.832,70.801,0
1539627904.348,11.230,32.227,43.457,2.930,17.090,0
1539627904.352,-2.441,29.785,45.410,8.301,0.488,0
1539627904.356,8.301,35.645,46.875,20.020,25.879,0
1539627904.360,-9.277,32.227,48.828,21.484,34.180,0
1539627904.364,-8.301,31.738,36.133,32.227,18.555,0
1539627904.367,6.836,26.855,29.297,25.879,14.160,0
1539627904.371,0.488,20.508,40.527,2.930,72.754,0
1539627904.375,25.391,24.414,44.434,21.973,72.754,0
1539627904.379,47.363,15.137,43.945,41.504,51.758,0
1539627904.383,32.227,19.043,39.551,27.832,34.180,0
1539627904.387,18.555,41.504,38.574,21.973,8.301,0
1539627904.391,17.090,38.574,39.062,27.344,46.875,0
1539627904.395,9.277,38.574,41.992,33.691,42.969,0
1539627904.399,12.695,41.504,38.574,28.809,34.180,0
1539627904.403,-1.953,31.738,33.691,25.391,35.156,0
1539627904.407,-3.906,29.297,37.598,20.996,3.906,0
1539627904.410,0.977,21.484,39.551,37.109,-0.977,0
1539627904.414,10.742,20.508,31.250,40.527,12.695,0
1539627904.418,23.438,26.367,26.367,-5.371,19.531,0
1539627904.422,24.902,33.691,43.945,0.000,40.527,1
1539627904.426,25.391,45.898,49.316,20.996,37.598,0
1539627904.430,16.113,38.086,35.156,15.137,49.805,0
1539627904.434,14.160,33.691,31.738,31.250,59.570,0
1539627904.438,13.672,36.621,36.133,44.922,74.219,0
1539627904.442,21.973,40.039,40.527,55.176,41.016,0
1539627904.446,21.973,45.898,43.945,50.293,19.531,0
1539627904.449,22.461,34.180,39.062,28.809,57.129,0
1539627904.453,41.992,28.809,39.062,22.949,40.527,0
1539627904.457,48.340,41.016,41.016,12.207,39.062,0
1539627904.461,35.645,31.250,31.250,12.207,34.180,0
1539627904.465,38.086,23.926,37.109,19.043,-2.441,0
1539627904.469,45.410,35.645,44.922,10.254,23.438,0
1539627904.473,39.551,38.574,32.715,31.738,60.547,0
1539627904.477,23.926,46.387,23.926,23.926,-18.066,0
1539627904.481,22.949,48.828,24.902,1.953,-50.781,0
1539627904.485,23.926,44.434,27.832,13.672,-9.766,0
1539627904.489,17.090,43.945,30.273,17.090,13.184,0
1539627904.492,21.973,42.480,26.855,7.812,-11.719,0
1539627904.496,25.391,50.293,31.250,14.648,-7.812,0
1539627904.500,17.578,46.875,29.785,28.809,-23.438,0
1539627904.504,20.508,35.645,20.508,32.227,0.977,0
1539627904.508,22.461,36.621,26.367,31.250,22.949,0
1539627904.512,7.324,22.461,25.879,47.363,16.602,0
1539627904.516,9.277,20.996,24.902,38.086,20.508,0
1539627904.520,20.508,37.109,32.227,-15.625,54.688,0
1539627904.524,28.809,40.527,36.133,-38.574,102.539,0
1539627904.528,24.414,45.898,32.715,-12.695,42.969,0
1539627904.532,26.855,50.781,33.203,8.301,12.695,0
1539627904.535,31.738,46.875,31.738,22.949,87.891,0
1539627904.539,8.789,39.062,29.785,32.715,76.660,0
1539627904.543,3.906,33.691,33.691,42.969,82.520,0
1539627904.547,22.949,36.621,33.691,52.734,57.617,0
1539627904.551,23.926,41.016,39.551,42.480,26.855,0
1539627904.555,15.137,40.039,42.480,40.039,29.297,0
1539627904.559,25.391,46.387,37.598,65.430,-0.488,0
1539627904.563,36.133,51.270,39.551,53.711,12.695,0
1539627904.567,34.180,46.387,40.039,24.902,17.578,0
1539627904.571,10.742,41.504,33.203,18.066,37.598,0
1539627904.574,-0.488,43.945,33.691,27.344,76.172,0
1539627904.578,-11.230,41.992,34.668,30.762,68.359,0
1539627904.582,-1.465,39.551,32.715,4.395,8.301,0
1539627904.586,21.973,49.316,35.645,-12.207,-23.926,0
1539627904.590,-7.812,50.293,22.461,-23.438,-29.297,0
1539627904.594,-36.621,47.852,20.020,-30.762,11.719,0
1539627904.598,-41.504,54.199,24.414,-33.691,65.430,0
1539627904.602,-54.199,52.246,9.277,-60.059,47.363,0
1539627904.606,-77.148,49.316,0.488,-84.961,47.363,0
1539627904.610,-93.262,56.641,-0.488,-84.961,34.180,0
1539627904.614,-90.332,64.941,-0.977,-70.312,7.324,0
1539627904.617,-96.191,65.430,2.930,-69.824,-14.160,0
1539627904.621,-121.094,52.246,18.066,-90.820,-6.348,0
1539627904.625,-150.879,50.781,11.719,-107.910,35.156,0
1539627904.629,-151.855,62.988,3.906,-121.094,28.809,0
1539627904.633,-119.629,66.406,8.789,-135.742,-16.602,0
1539627904.637,-106.445,63.965,8.301,-131.836,-24.902,0
1539627904.641,-121.094,57.129,11.230,-112.305,29.785,0
1539627904.645,-121.582,53.223,19.531,-98.633,59.570,0
1539627904.649,-111.328,59.082,27.344,-101.074,21.973,0
1539627904.653,-111.816,58.594,24.902,-93.262,37.598,0
1539627904.657,-104.492,51.270,16.602,-82.520,52.246,0
1539627904.660,-88.867,52.246,16.113,-83.008,82.031,0
1539627904.664,-69.824,51.270,19.043,-67.871,82.031,0
1539627904.668,-73.242,47.852,15.137,-56.641,15.625,0
1539627904.672,-81.543,42.480,21.973,-42.480,41.016,0
1539627904.676,-60.547,37.109,37.598,-27.832,59.082,0
1539627904.680,-37.109,38.086,34.668,-25.879,75.195,0
1539627904.684,-25.879,36.621,30.273,-13.184,87.402,0
1539627904.688,-7.324,36.133,31.738,1.465,47.363,0
1539627904.692,1.953,32.715,38.574,9.766,45.898,0
1539627904.696,11.719,24.414,44.922,29.297,20.508,0
1539627904.699,16.113,25.879,44.922,51.758,65.430,0
1539627904.703,22.949,35.645,48.828,54.688,129.395,0
1539627904.707,31.738,31.738,44.434,67.383,142.578,0
1539627904.711,23.438,20.996,40.527,74.219,97.656,0
1539627904.715,31.738,28.809,42.969,56.641,63.477,0
1539627904.719,55.664,39.551,42.480,48.340,72.754,0
