timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1539629235.571,52.246,31.738,33.691,43.945,15.625,2
1539629235.574,59.082,31.738,34.180,44.434,29.785,0
1539629235.578,39.062,30.273,27.832,43.457,66.406,0
1539629235.582,29.297,33.691,32.715,37.109,44.434,0
1539629235.586,38.574,37.109,36.133,40.527,19.043,0
1539629235.590,37.109,27.832,36.621,40.039,28.320,0
1539629235.594,32.227,25.879,35.645,29.785,2.441,0
1539629235.598,36.133,34.668,33.203,30.762,-20.508,0
1539629235.602,36.621,36.133,30.762,34.668,-42.969,0
1539629235.606,30.762,29.785,33.691,37.598,-39.551,0
1539629235.610,38.086,24.414,35.156,40.039,-43.945,0
1539629235.614,39.062,33.691,29.297,39.062,-49.805,0
1539629235.617,31.250,39.551,27.344,25.879,15.625,0
1539629235.621,22.949,36.133,35.645,13.184,81.055,0
1539629235.625,20.020,31.738,32.715,11.719,84.961,0
1539629235.629,19.043,34.180,24.414,24.414,75.195,0
1539629235.633,21.484,35.156,21.973,32.227,13.184,0
1539629235.637,44.922,30.273,21.973,25.879,-34.180,0
1539629235.641,48.828,34.180,25.879,30.273,16.602,0
1539629235.645,41.504,37.598,29.785,36.621,13.672,0
1539629235.649,36.621,32.715,27.832,25.391,-12.695,0
1539629235.653,23.926,30.762,23.438,27.344,-1.465,0
1539629235.657,29.785,33.203,23.926,32.227,7.324,0
1539629235.660,37.598,36.133,26.367,26.855,34.668,0
1539629235.664,33.203,40.527,27.344,26.367,14.160,0
1539629235.668,28.809,33.203,27.344,25.879,56.641,0
1539629235.672,32.227,31.250,25.879,27.832,64.941,0
1539629235.676,33.203,32.715,26.367,23.438,22.949,0
1539629235.680,30.273,28.320,24.414,15.137,80.078,0
1539629235.684,28.809,30.273,25.879,14.648,75.195,0
1539629235.688,24.902,32.227,28.809,24.414,43.945,0
1539629235.692,28.320,34.668,22.949,25.879,46.875,0
1539629235.696,19.531,36.621,20.508,21.973,76.172,0
1539629235.699,22.461,34.180,21.973,27.832,87.402,0
1539629235.703,36.621,37.109,22.461,25.879,14.648,0
1539629235.707,25.879,43.457,26.367,21.484,40.039,0
1539629235.711,24.902,38.574,31.738,25.391,79.590,0
1539629235.715,26.367,33.203,31.738,32.715,29.297,0
1539629235.719,26.367,32.715,28.320,33.203,38.574,0
1539629235.723,28.809,38.574,27.832,25.879,32.227,0
1539629235.727,37.598,36.621,32.715,27.832,39.062,0
1539629235.731,45.898,32.715,33.691,33.203,39.551,0
1539629235.735,42.969,34.180,31.250,30.762,22.461,0
1539629235.739,31.738,33.203,35.645,31.250,82.031,0
1539629235.742,16.602,35.645,36.621,25.391,102.051,0
1539629235.746,15.137,28.809,32.715,20.508,46.387,0
1539629235.750,20.508,30.273,27.832,21.973,37.109,0
1539629235.754,19.531,36.621,28.320,29.297,37.109,0
1539629235.758,19.531,31.250,30.762,24.414,12.695,0
1539629235.762,23.438,27.344,32.715,20.996,41.016,0
1539629235.766,14.648,20.508,30.762,23.438,59.082,0
1539629235.770,24.414,28.809,22.461,13.184,41.016,0
1539629235.774,29.297,41.016,20.508,13.672,21.973,0
1539629235.778,20.020,38.086,23.438,16.113,20.508,0
1539629235.782,23.926,42.480,24.414,23.438,41.504,0
1539629235.785,41.016,50.293,25.391,31.738,5.859,0
1539629235.789,50.293,44.922,29.297,28.809,21.484,0
1539629235.793,45.898,39.551,33.691,30.273,39.062,0
1539629235.797,47.852,38.574,34.180,35.645,-6.836,0
1539629235.801,44.434,39.551,30.762,38.574,14.648,0
1539629235.805,37.598,40.527,30.273,32.715,62.988,0
1539629235.809,38.574,43.945,29.785,28.320,19.531,0
1539629235.813,38.574,46.387,29.297,27.344,17.578,0
1539629235.817,40.527,44.922,31.738,24.902,83.496,0
1539629235.821,40.527,45.898,27.344,26.367,80.566,0
1539629235.824,39.551,42.969,24.414,28.320,43.457,0
1539629235.828,34.180,36.133,29.785,30.273,22.461,0
1539629235.832,26.855,39.062,29.297,24.414,21.484,0
1539629235.836,25.879,43.457,26.367,15.625,3.418,0
1539629235.840,23.438,41.016,28.320,27.832,25.879,0
1539629235.844,27.344,38.574,24.414,28.320,44.434,0
1539629235.848,40.039,37.109,23.926,23.438,19.531,0
1539629235.852,37.109,41.016,31.250,33.203,45.410,0
1539629235.856,24.902,36.621,34.180,29.785,69.824,0
1539629235.860,45.898,30.273,34.180,48.340,23.438,0
1539629235.864,58.594,36.621,27.344,51.758,54.199,0
1539629235.867,18.066,39.062,13.184,-1.465,119.141,0
1539629235.871,-4.395,38.574,13.672,-19.531,48.340,0
1539629235.875,2.930,37.109,22.949,-11.719,-2.441,0
1539629235.879,-7.812,34.180,23.926,-18.555,6.348,0
1539629235.883,-6.348,33.203,18.555,-21.484,13.672,0
1539629235.887,-14.160,33.691,17.578,-25.391,1.953,0
1539629235.891,-20.020,27.832,17.090,-28.320,36.621,0
1539629235.895,-5.859,24.414,20.996,-17.578,64.453,0
1539629235.899,-0.488,29.297,25.879,2.441,12.207,0
1539629235.903,6.836,35.156,30.273,14.160,5.371,0
1539629235.907,14.648,29.785,35.156,14.648,69.824,0
1539629235.910,13.672,24.414,33.691,14.160,65.430,0
1539629235.914,20.996,17.578,24.902,5.859,-21.484,0
1539629235.918,31.250,14.648,19.531,5.371,24.414,0
1539629235.922,19.531,22.949,23.438,5.371,103.516,0
1539629235.926,13.184,29.297,24.902,2.441,32.227,0
1539629235.930,17.090,34.180,26.367,4.883,-10.742,0
1539629235.934,11.230,29.297,28.320,6.836,22.949,0
1539629235.938,15.625,22.461,27.344,8.301,42.969,0
1539629235.942,16.113,22.461,29.785,12.695,48.340,0
1539629235.946,4.395,29.785,34.668,7.324,26.367,0
1539629235.949,5.371,33.203,22.949,-0.488,5.371,0
1539629235.953,17.090,29.297,20.996,4.883,68.359,0
1539629235.957,17.090,28.809,30.273,13.672,57.129,0
1539629235.961,6.348,32.227,30.273,10.254,42.480,0
1539629235.965,11.230,33.203,30.762,8.789,50.781,0
1539629235.969,10.742,31.250,31.738,11.230,-24.414,0
1539629235.973,4.395,33.691,35.156,1.465,-29.297,0
1539629235.977,13.184,37.598,34.668,-1.465,24.414,0
1539629235.981,16.113,36.621,32.715,0.977,-9.766,0
1539629235.985,20.996,37.109,31.738,3.906,-31.738,0
1539629235.989,15.625,32.715,28.320,11.230,20.508,0
1539629235.992,6.348,34.180,25.391,9.277,29.785,0
1539629235.996,1.953,29.785,29.785,10.254,25.879,0
1539629236.000,11.230,22.461,30.762,6.348,9.766,0
1539629236.004,8.789,26.367,28.809,2.441,36.621,0
1539629236.008,9.277,22.461,32.715,11.230,58.594,0
1539629236.012,19.531,21.484,34.180,18.555,-22.461,0
1539629236.016,18.066,29.297,30.762,14.160,-27.832,0
1539629236.020,17.578,30.273,33.203,16.602,-9.766,0
1539629236.024,27.344,32.227,30.273,22.461,59.570,0
1539629236.028,19.043,34.668,19.531,12.207,71.777,0
1539629236.032,4.395,31.738,25.391,8.789,-20.508,0
