timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1539624106.219,62.012,43.945,41.992,49.316,-12.207,1
1539624106.223,60.059,40.039,46.387,45.410,-24.414,0
1539624106.227,52.246,41.992,48.340,44.922,38.086,0
1539624106.230,42.969,42.480,49.316,48.340,17.090,0
1539624106.234,37.598,36.133,44.434,42.480,14.648,0
1539624106.238,40.039,37.109,48.340,42.480,42.969,0
1539624106.242,43.945,42.480,46.387,43.945,43.945,0
1539624106.246,41.016,44.434,39.551,43.457,14.648,0
1539624106.250,34.668,35.645,41.992,39.551,2.441,0
1539624106.254,31.738,27.832,42.969,32.715,22.461,0
1539624106.258,31.738,32.715,46.387,34.180,68.359,0
1539624106.262,34.668,39.551,47.363,38.086,65.430,0
1539624106.266,36.621,37.598,49.316,37.109,-37.598,0
1539624106.270,34.180,37.598,51.758,40.039,-11.230,0
1539624106.273,34.180,42.480,44.922,40.527,71.289,0
1539624106.277,30.273,39.062,42.480,39.551,75.195,0
1539624106.281,36.133,32.715,45.898,39.551,62.500,0
1539624106.285,36.621,31.250,44.922,37.598,46.387,0
1539624106.289,43.457,38.086,40.527,39.062,76.660,0
1539624106.293,45.410,42.969,39.062,37.109,69.336,0
1539624106.297,34.668,38.086,40.039,33.203,-31.738,0
1539624106.301,35.156,40.527,39.062,37.109,18.066,0
1539624106.305,33.691,45.410,39.551,39.062,96.680,0
1539624106.309,35.645,44.434,37.598,34.668,57.129,0
1539624106.313,34.668,43.945,34.180,30.762,25.879,0
1539624106.316,38.574,41.016,33.691,33.203,39.062,0
1539624106.320,34.180,39.551,35.156,40.527,36.133,0
1539624106.324,25.391,43.457,27.344,38.574,20.020,0
1539624106.328,24.414,40.039,29.785,29.785,39.551,0
1539624106.332,24.414,37.109,42.480,30.273,25.391,0
1539624106.336,27.832,38.086,43.457,37.109,-2.930,0
1539624106.340,25.879,31.738,43.945,35.645,31.738,0
1539624106.344,23.438,27.832,40.527,23.926,60.547,0
1539624106.348,23.926,31.250,37.109,16.602,53.711,0
1539624106.352,24.414,29.785,40.527,20.020,63.965,0
1539624106.355,27.832,31.738,44.434,22.461,49.805,0
1539624106.359,28.809,38.086,45.410,20.996,47.852,0
1539624106.363,25.391,32.227,43.945,19.531,11.230,0
1539624106.367,25.391,29.297,44.434,21.973,3.906,0
1539624106.371,22.461,32.715,42.480,22.949,17.578,0
1539624106.375,18.066,29.297,43.457,24.902,-27.832,0
1539624106.379,28.809,32.227,38.086,29.297,-3.418,0
1539624106.383,23.438,35.645,31.738,26.855,36.621,0
1539624106.387,10.742,28.320,43.945,23.438,104.492,0
1539624106.391,38.574,31.738,43.457,31.738,97.656,0
1539624106.395,62.988,37.598,45.898,48.340,20.508,0
1539624106.398,26.367,31.738,61.035,31.738,-5.859,0
1539624106.402,0.000,31.250,54.199,14.160,16.602,0
1539624106.406,30.762,33.203,44.922,37.598,22.949,0
1539624106.410,45.898,33.691,41.504,44.922,31.250,0
1539624106.414,35.645,33.691,40.039,34.180,94.238,0
1539624106.418,41.016,30.273,48.340,45.898,82.520,0
1539624106.422,32.227,29.785,50.293,41.992,40.527,0
1539624106.426,27.344,37.598,47.363,30.273,22.949,0
1539624106.430,44.922,41.504,51.270,42.480,19.043,0
1539624106.434,41.016,40.039,52.246,48.828,31.250,0
1539624106.438,32.715,35.156,50.781,46.875,67.871,0
1539624106.441,39.551,31.738,45.898,48.828,57.129,0
1539624106.445,44.922,34.668,45.898,45.410,36.133,0
1539624106.449,44.922,35.156,48.340,42.969,69.824,0
1539624106.453,39.062,36.133,43.945,47.852,41.504,0
1539624106.457,38.574,36.621,43.457,45.410,-6.348,0
1539624106.461,40.527,38.086,44.434,43.945,20.020,0
1539624106.465,39.551,42.480,41.016,42.969,44.434,0
1539624106.469,44.922,41.992,35.645,39.551,-19.531,0
1539624106.473,44.922,39.551,37.109,42.969,12.207,0
1539624106.477,49.316,40.527,37.598,33.691,43.945,0
1539624106.480,42.969,39.062,32.227,29.297,4.395,0
1539624106.484,41.016,43.457,40.039,34.180,22.949,0
1539624106.488,52.246,49.805,43.945,33.691,31.250,0
1539624106.492,48.828,51.270,44.434,35.156,48.340,0
1539624106.496,49.316,48.340,42.969,40.527,64.453,0
1539624106.500,45.410,41.504,39.551,40.039,104.004,0
1539624106.504,41.016,34.180,42.480,37.109,124.023,0
1539624106.508,43.945,33.691,42.969,40.039,56.641,0
1539624106.512,43.945,35.645,43.945,44.434,11.230,0
1539624106.516,42.969,36.133,46.387,43.457,9.277,0
