timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1539623877.797,35.645,32.227,34.180,32.227,67.871,0
1539623877.801,37.598,36.621,38.086,29.785,11.230,0
1539623877.805,36.133,39.551,41.016,36.621,75.195,0
1539623877.809,36.133,34.668,36.133,38.086,68.359,0
1539623877.813,31.738,30.762,34.180,29.297,28.809,0
1539623877.816,32.227,31.250,37.109,30.762,75.195,0
1539623877.820,33.691,37.109,41.504,41.016,108.887,0
1539623877.824,34.180,40.039,43.457,47.852,83.984,0
1539623877.828,36.133,36.621,41.992,49.316,13.184,0
1539623877.832,33.691,35.156,41.992,46.875,17.090,0
1539623877.836,41.016,38.086,41.992,41.992,19.043,0
1539623877.840,33.691,34.668,40.527,30.762,10.742,0
1539623877.844,26.855,34.180,40.527,27.832,4.395,0
1539623877.848,42.969,36.621,35.645,39.062,-23.926,0
1539623877.852,37.109,38.086,33.691,39.551,-18.066,0
1539623877.855,24.902,37.598,32.715,35.156,15.625,0
1539623877.859,33.691,37.598,23.438,39.062,-5.859,0
1539623877.863,39.551,40.527,27.832,42.480,1.953,0
1539623877.867,39.062,37.598,36.133,41.016,105.469,0
1539623877.871,37.109,37.109,34.180,37.109,84.473,0
1539623877.875,32.227,39.551,34.668,36.621,34.180,0
1539623877.879,30.273,40.039,36.621,34.180,59.082,0
1539623877.883,31.250,37.109,37.598,27.344,27.832,0
1539623877.887,28.320,33.691,37.598,30.273,-25.879,0
1539623877.891,25.879,33.691,39.551,34.180,-5.859,0
1539623877.895,31.250,35.645,40.039,28.809,-13.184,0
1539623877.898,27.832,37.109,41.016,19.531,-22.949,0
1539623877.902,22.461,38.086,37.598,20.508,59.570,0
1539623877.906,27.344,38.086,32.715,26.855,54.688,0
1539623877.910,29.297,39.062,36.133,28.320,-1.465,0
1539623877.914,26.855,35.645,38.086,29.297,43.457,0
1539623877.918,24.902,34.180,36.621,26.367,60.547,0
1539623877.922,26.367,38.574,32.227,22.461,52.246,0
1539623877.926,27.344,40.039,35.156,21.973,9.277,0
1539623877.930,22.461,40.527,41.016,14.160,-44.434,0
1539623877.934,15.137,38.086,28.320,12.207,-11.719,1
1539623877.938,21.484,36.133,21.484,23.438,-22.461,0
1539623877.941,25.391,38.574,33.203,26.367,-14.648,0
1539623877.945,24.902,38.574,37.109,20.020,51.758,0
1539623877.949,27.344,39.062,38.574,24.902,24.414,0
1539623877.953,27.344,36.133,34.668,26.855,14.160,0
1539623877.957,25.879,33.203,34.180,20.508,6.348,0
1539623877.961,23.926,35.645,40.039,16.602,-10.254,0
1539623877.965,24.902,39.062,41.504,18.066,50.781,0
1539623877.969,33.691,39.062,41.016,21.973,20.996,0
1539623877.973,33.203,37.109,35.156,19.531,-22.949,0
1539623877.977,27.344,37.109,32.715,16.113,45.898,0
1539623877.980,29.785,37.109,40.527,24.414,51.270,0
1539623877.984,29.297,37.598,40.039,27.832,42.480,0
1539623877.988,27.832,39.551,37.109,29.297,64.941,0
1539623877.992,30.762,37.598,34.668,32.715,36.621,0
1539623877.996,30.273,36.133,34.180,33.691,29.785,0
1539623878.000,33.691,38.086,36.133,35.645,40.527,0
1539623878.004,36.133,36.621,36.133,33.203,48.340,0
1539623878.008,33.203,33.691,32.715,24.902,-10.254,0
1539623878.012,30.273,34.668,33.203,24.902,0.488,0
1539623878.016,26.855,36.133,37.598,25.391,32.227,0
1539623878.020,24.414,32.715,37.598,21.973,22.461,0
1539623878.023,31.250,33.691,37.109,30.762,22.461,0
1539623878.027,36.133,36.133,41.016,34.668,67.383,0
1539623878.031,31.738,38.574,41.992,37.109,106.445,0
1539623878.035,32.715,39.551,41.016,36.621,88.379,0
1539623878.039,33.203,41.016,41.504,34.668,52.734,0
1539623878.043,37.598,40.039,41.016,39.551,99.609,0
1539623878.047,31.738,35.156,39.551,42.480,88.379,0
1539623878.051,20.508,33.203,40.039,33.203,37.109,0
1539623878.055,20.508,30.762,39.062,26.367,82.520,0
1539623878.059,26.855,31.250,44.922,29.785,110.840,0
1539623878.063,23.438,32.227,34.180,23.438,93.750,0
1539623878.066,20.508,35.156,24.414,18.066,13.672,0
1539623878.070,22.461,37.109,40.527,18.555,41.016,0
1539623878.074,26.367,37.109,49.316,20.508,54.199,0
1539623878.078,31.250,39.551,42.969,27.344,-27.344,0
1539623878.082,28.809,40.039,34.180,23.438,16.113,0
1539623878.086,26.367,38.574,30.762,18.066,65.918,0
1539623878.090,23.926,36.621,26.367,21.973,27.344,0
1539623878.094,31.250,34.180,27.344,22.461,-24.414,0
1539623878.098,33.203,34.668,36.133,28.809,-45.410,0
1539623878.102,22.949,35.645,38.086,32.227,-57.617,0
1539623878.105,26.855,38.574,37.598,32.227,27.344,0
1539623878.109,29.785,38.086,38.574,27.832,31.250,0
1539623878.113,27.832,36.621,38.086,26.367,-20.020,0
1539623878.117,38.574,39.551,38.574,37.109,63.477,0
1539623878.121,37.109,42.969,38.574,33.203,93.750,0
1539623878.125,22.949,40.039,36.621,24.902,93.262,0
1539623878.129,19.531,37.109,33.691,23.438,90.332,0
1539623878.133,17.090,37.109,34.668,24.414,50.781,0
1539623878.137,22.461,38.574,33.691,27.344,66.406,0
1539623878.141,22.461,38.086,33.203,27.344,96.191,0
1539623878.145,17.090,40.527,35.645,25.391,52.734,0
1539623878.148,18.555,42.969,35.645,19.043,25.879,0
1539623878.152,12.695,38.574,36.621,7.324,51.758,0
1539623878.156,6.348,38.086,36.621,5.859,-17.090,0
1539623878.160,15.137,39.551,30.762,8.301,-30.273,0
1539623878.164,21.973,40.527,30.762,6.348,70.801,0
1539623878.168,20.996,43.457,33.691,8.789,99.121,0
1539623878.172,22.949,46.875,30.273,12.695,47.363,0
1539623878.176,31.250,47.852,33.691,15.137,-19.531,0
1539623878.180,33.691,46.875,33.203,20.020,25.391,0
1539623878.184,30.762,42.969,26.855,23.926,77.637,0
1539623878.188,33.203,36.621,26.855,15.625,83.984,0
1539623878.191,27.832,38.086,27.344,12.207,32.227,0
1539623878.195,23.438,38.574,31.738,19.043,22.949,0
1539623878.199,26.367,38.086,37.109,18.066,43.457,0
1539623878.203,27.832,40.039,34.180,21.973,42.969,0
1539623878.207,31.738,39.062,32.227,25.391,60.547,0
1539623878.211,34.180,38.574,35.156,28.809,55.176,0
1539623878.215,29.785,40.527,40.039,29.785,24.902,0
1539623878.219,27.832,40.527,37.109,27.832,54.688,0
1539623878.223,26.367,37.598,32.715,27.344,103.516,0
1539623878.227,25.879,33.691,33.203,21.484,20.020,0
1539623878.230,26.367,33.691,32.227,18.555,-19.531,0
1539623878.234,23.438,35.645,29.785,20.508,-4.883,0
1539623878.238,20.996,39.551,26.855,18.066,13.184,0
1539623878.242,22.461,41.504,27.832,13.672,45.898,0
1539623878.246,22.461,40.039,28.320,17.578,46.875,0
1539623878.250,17.578,39.062,26.367,21.484,25.879,0
1539623878.254,18.555,41.504,32.715,20.996,13.184,0
1539623878.258,24.902,39.551,36.621,15.137,66.406,0
1539623878.262,21.973,34.668,28.809,12.207,69.824,0
1539623878.266,26.855,36.133,27.344,17.578,34.180,0
1539623878.270,26.855,35.645,32.227,14.648,50.781,0
1539623878.273,18.555,32.715,31.738,14.160,52.734,0
1539623878.277,16.602,37.109,30.273,27.344,33.691,0
1539623878.281,22.949,39.062,33.203,30.273,19.531,0
1539623878.285,29.297,33.691,33.691,27.344,32.227,0
1539623878.289,30.762,33.691,33.203,32.715,50.293,0
1539623878.293,22.461,34.668,40.527,28.809,31.250,0
1539623878.297,21.484,38.086,47.363,26.855,31.738,0
1539623878.301,24.414,44.434,42.480,28.320,39.062,0
1539623878.305,20.996,42.480,33.203,23.926,73.730,0
1539623878.309,21.484,40.527,35.156,23.438,54.688,0
1539623878.313,23.438,43.945,35.645,29.785,5.859,0
1539623878.316,24.414,41.016,31.738,31.738,57.617,0
1539623878.320,19.531,36.621,36.133,21.973,92.285,0
1539623878.324,20.508,38.086,35.645,21.484,103.516,0
1539623878.328,21.973,35.645,32.715,18.066,76.660,0
1539623878.332,23.438,36.621,35.645,19.531,40.039,0
1539623878.336,25.391,39.062,33.691,21.484,72.754,0
1539623878.340,24.414,37.109,30.762,13.672,112.305,0
1539623878.344,33.691,38.086,32.715,16.113,58.594,0
1539623878.348,28.809,38.086,34.668,17.090,15.625,0
1539623878.352,18.066,36.133,30.762,13.672,31.250,0
1539623878.355,26.855,38.086,26.855,17.090,-42.480,0
1539623878.359,29.785,33.691,31.250,15.137,-71.289,0
1539623878.363,30.762,32.227,32.715,17.090,-41.016,0
1539623878.367,34.180,35.156,30.762,25.391,-14.648,0
1539623878.371,36.621,33.203,32.227,29.297,56.152,0
1539623878.375,36.133,34.180,34.668,34.180,31.250,0
1539623878.379,33.203,33.203,35.156,30.762,17.578,0
