timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1539620496.653,36.621,43.457,37.598,42.480,51.758,0
1539620496.657,34.668,40.527,39.062,43.457,36.133,0
1539620496.661,31.738,39.062,41.504,43.457,84.473,0
1539620496.665,30.762,41.504,41.504,41.016,84.473,0
1539620496.669,27.344,36.133,35.645,36.621,32.227,0
1539620496.673,33.691,31.250,36.621,40.039,20.020,0
1539620496.676,38.574,34.180,41.016,40.039,-20.508,0
1539620496.680,26.855,41.016,40.039,35.645,7.812,0
1539620496.684,16.113,31.738,38.086,30.273,-4.883,0
1539620496.688,20.996,29.297,36.621,34.180,1.465,0
1539620496.692,24.902,45.410,37.598,39.062,45.410,0
1539620496.696,23.438,43.457,39.551,38.086,84.961,0
1539620496.700,25.879,28.809,36.133,33.203,38.086,0
1539620496.704,25.391,36.133,33.203,32.715,1.953,0
1539620496.708,24.414,43.457,32.227,34.668,48.340,0
1539620496.712,22.461,33.691,30.273,31.738,37.109,0
1539620496.716,23.926,38.574,32.227,33.691,9.277,0
1539620496.719,25.879,41.504,36.621,35.156,47.852,0
1539620496.723,27.832,39.551,37.598,35.156,48.340,0
1539620496.727,30.273,36.133,37.109,27.832,21.973,0
1539620496.731,31.250,32.227,40.039,23.926,41.504,0
1539620496.735,32.227,45.410,38.574,32.227,80.078,0
1539620496.739,31.738,41.016,37.598,33.691,76.660,0
1539620496.743,30.762,32.227,36.621,26.855,62.500,0
1539620496.747,27.344,37.598,30.762,28.809,40.039,0
1539620496.751,21.973,33.203,28.809,30.762,-12.207,0
1539620496.755,27.344,25.879,28.320,33.203,-2.930,0
1539620496.758,31.250,38.086,31.250,36.621,42.969,0
1539620496.762,26.855,42.969,36.621,37.598,48.828,0
1539620496.766,30.273,38.086,34.180,35.645,58.594,0
1539620496.770,34.180,38.574,32.227,35.156,36.133,0
1539620496.774,27.832,27.344,37.109,33.691,19.531,0
1539620496.778,25.879,26.367,34.180,30.273,60.059,0
1539620496.782,23.438,35.645,30.762,28.320,35.645,0
1539620496.786,20.996,28.809,33.203,36.621,20.508,0
1539620496.790,22.461,26.367,34.180,33.691,64.941,0
1539620496.794,26.367,36.133,35.645,34.180,86.426,0
1539620496.798,29.785,30.273,35.645,40.527,42.969,0
1539620496.801,28.320,20.508,36.133,35.645,44.922,0
1539620496.805,28.809,22.949,36.621,31.250,50.293,0
1539620496.809,35.645,18.555,35.156,26.855,-2.930,0
1539620496.813,33.203,20.508,37.109,28.809,-7.324,0
1539620496.817,23.438,20.508,38.574,28.809,-9.766,0
1539620496.821,23.438,24.414,37.109,25.879,-7.812,0
1539620496.825,23.438,38.086,35.645,31.738,7.812,0
1539620496.829,24.902,39.062,35.645,35.156,11.719,0
1539620496.833,29.785,32.715,35.645,38.086,39.551,0
1539620496.837,29.297,33.691,35.645,37.598,67.383,0
1539620496.841,29.785,39.551,35.156,36.621,54.688,0
1539620496.844,29.297,37.598,36.133,39.062,50.293,0
1539620496.848,25.879,28.809,31.738,38.086,71.777,0
1539620496.852,26.855,27.832,29.297,36.133,43.457,0
1539620496.856,27.344,26.367,33.203,33.691,4.395,0
1539620496.860,26.855,25.879,38.574,36.133,-17.090,0
1539620496.864,24.902,27.832,38.574,35.156,76.172,0
1539620496.868,20.508,32.227,33.691,31.738,69.824,0
1539620496.872,22.461,38.086,33.691,34.668,-33.203,0
1539620496.876,25.391,33.203,36.621,36.621,-6.836,0
1539620496.880,24.414,40.527,37.109,39.062,63.477,0
1539620496.883,22.949,47.363,37.598,41.016,59.570,0
1539620496.887,23.438,45.898,35.156,32.715,47.363,0
1539620496.891,22.461,34.180,31.250,26.367,40.039,0
1539620496.895,20.508,29.297,33.203,27.344,-36.621,0
1539620496.899,20.996,38.574,33.691,24.902,-43.945,0
1539620496.903,20.508,40.039,29.785,25.879,41.016,0
1539620496.907,25.879,28.320,34.180,30.762,22.461,0
1539620496.911,29.785,19.531,38.574,23.926,25.879,0
