timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1539619890.606,20.996,41.992,42.969,17.090,0.000,0
1539619890.610,28.809,40.039,37.598,23.438,65.430,0
1539619890.614,32.227,37.598,30.762,21.973,-12.695,0
1539619890.618,26.855,42.969,34.668,14.648,-15.137,0
1539619890.622,29.785,44.434,31.738,17.578,93.262,0
1539619890.626,20.996,39.062,31.250,19.043,83.008,0
1539619890.630,18.555,40.039,33.203,12.207,65.430,0
1539619890.633,20.996,46.387,33.691,7.812,51.758,0
1539619890.637,21.484,46.387,29.785,19.043,57.617,0
1539619890.641,16.113,46.875,24.414,20.508,47.363,0
1539619890.645,20.020,47.363,28.809,21.484,72.754,0
1539619890.649,36.621,47.852,35.156,26.367,89.355,0
1539619890.653,27.832,48.828,32.227,20.996,62.012,0
1539619890.657,15.137,45.410,30.273,12.207,43.457,0
1539619890.661,25.879,43.457,36.621,10.742,23.926,0
1539619890.665,28.809,42.480,35.156,11.230,14.648,0
1539619890.669,19.043,42.480,33.203,20.508,10.254,0
1539619890.673,16.113,43.457,36.621,26.367,40.527,0
1539619890.676,22.461,43.457,36.621,21.973,104.980,0
1539619890.680,27.344,42.480,36.133,16.602,95.703,0
1539619890.684,29.785,43.945,38.086,22.949,104.492,0
1539619890.688,23.926,43.945,37.598,15.137,100.586,0
1539619890.692,15.625,44.922,36.133,8.301,9.766,0
1539619890.696,21.484,47.363,37.598,20.020,42.480,0
1539619890.700,28.809,48.828,33.691,9.766,82.520,0
1539619890.704,31.250,48.828,34.668,9.277,0.977,0
1539619890.708,25.391,48.828,40.039,26.855,17.090,0
1539619890.712,25.391,48.340,37.598,23.926,-3.418,0
1539619890.716,28.809,45.898,34.668,14.648,-50.781,0
1539619890.719,32.715,44.922,34.180,20.020,5.859,0
1539619890.723,24.414,47.363,30.273,18.066,7.324,0
1539619890.727,9.277,46.875,34.668,14.160,28.320,0
1539619890.731,17.578,45.410,33.691,10.254,60.547,0
1539619890.735,22.461,44.922,30.762,3.906,59.570,0
1539619890.739,14.648,41.992,34.668,15.137,26.367,0
1539619890.743,18.066,44.922,34.668,24.414,6.348,0
1539619890.747,21.973,45.898,33.203,20.996,23.438,0
1539619890.751,20.508,39.062,34.668,9.766,66.895,0
1539619890.755,8.789,41.992,32.227,9.766,99.121,0
1539619890.758,3.906,46.875,29.297,11.230,111.328,0
1539619890.762,20.508,43.457,32.715,9.766,58.105,0
1539619890.766,23.438,41.016,32.715,8.301,20.996,0
1539619890.770,8.301,39.551,32.715,6.836,97.656,0
1539619890.774,11.230,40.527,36.133,11.719,70.312,0
1539619890.778,15.625,42.969,41.016,3.906,37.598,0
1539619890.782,17.090,42.480,34.180,2.441,70.312,0
1539619890.786,13.672,39.551,32.715,14.648,55.176,0
1539619890.790,16.113,39.062,38.574,18.555,84.473,0
1539619890.794,20.996,41.504,37.109,16.113,71.289,0
1539619890.798,20.996,41.504,38.086,15.625,27.832,0
1539619890.801,20.020,42.969,36.621,19.043,70.312,0
1539619890.805,19.043,40.527,36.133,27.832,89.355,0
1539619890.809,17.578,37.109,39.551,22.461,51.758,0
1539619890.813,10.742,40.527,37.598,8.301,41.992,0
1539619890.817,18.555,46.387,30.762,8.789,65.430,0
1539619890.821,25.879,48.340,33.691,11.719,56.641,0
1539619890.825,15.137,45.410,36.621,10.254,-6.348,0
1539619890.829,13.672,49.316,32.715,4.395,-71.777,0
1539619890.833,24.414,47.363,38.574,21.484,1.465,0
1539619890.837,27.344,41.016,40.527,27.344,80.078,0
1539619890.841,19.043,40.039,42.969,20.996,88.867,0
1539619890.844,16.602,37.598,45.410,21.973,92.285,0
1539619890.848,15.625,35.645,44.922,36.621,69.824,0
1539619890.852,12.695,34.668,47.852,35.156,72.266,0
1539619890.856,15.137,32.715,45.410,6.348,61.523,0
1539619890.860,22.461,32.715,42.480,17.578,30.762,0
1539619890.864,24.414,33.203,46.387,27.344,27.832,0
1539619890.868,21.484,32.715,47.363,20.020,19.531,0
1539619890.872,19.531,33.691,45.410,21.484,50.293,0
1539619890.876,21.484,35.645,40.039,20.508,51.270,0
1539619890.880,22.461,37.109,35.645,18.066,14.648,0
1539619890.883,15.137,37.598,35.156,15.137,53.223,0
1539619890.887,14.648,32.715,39.062,10.254,23.438,0
1539619890.891,15.625,29.785,40.039,20.508,8.301,0
1539619890.895,16.113,37.109,28.809,15.625,74.219,0
1539619890.899,19.043,40.527,27.832,9.766,-6.836,0
1539619890.903,20.020,39.551,33.203,12.207,-17.578,0
1539619890.907,18.066,39.551,34.180,19.531,40.527,0
1539619890.911,23.926,41.992,34.180,25.391,48.340,0
1539619890.915,24.414,41.504,31.738,11.719,22.949,0
1539619890.919,20.996,39.062,31.738,13.672,11.230,0
1539619890.923,19.043,40.039,32.715,18.555,76.660,0
1539619890.926,19.531,42.969,33.203,22.949,89.844,0
1539619890.930,21.484,42.969,33.203,17.578,59.082,0
