timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1539629458.883,5.859,31.250,20.508,10.254,-44.922,1
1539629458.887,2.930,34.668,26.855,5.371,-17.578,0
1539629458.891,3.418,31.738,20.996,10.742,33.203,0
1539629458.895,0.977,39.062,16.113,9.766,40.527,0
1539629458.899,0.488,39.062,16.602,11.230,32.715,0
1539629458.903,9.766,31.738,12.695,16.113,25.391,0
1539629458.907,16.113,30.762,13.184,2.930,-17.578,0
1539629458.910,15.137,31.738,19.043,0.000,14.648,0
1539629458.914,13.184,29.297,24.414,11.230,46.387,0
1539629458.918,15.137,28.809,18.066,17.090,42.969,0
1539629458.922,20.996,23.438,20.020,15.625,31.250,0
1539629458.926,20.020,22.949,23.926,8.789,17.090,0
1539629458.930,29.297,32.227,18.555,7.324,-21.973,0
1539629458.934,31.738,37.598,15.137,10.742,-76.172,0
1539629458.938,14.648,44.922,15.625,15.625,15.137,0
1539629458.942,16.113,34.668,16.602,23.438,68.359,0
1539629458.946,20.996,22.949,22.461,28.320,83.984,0
1539629458.949,23.926,29.785,27.344,30.762,29.785,0
1539629458.953,28.320,31.250,22.949,27.344,-13.672,0
1539629458.957,32.227,24.902,23.926,26.367,12.695,0
1539629458.961,35.645,33.691,28.320,33.203,70.312,0
1539629458.965,34.668,30.762,20.996,33.203,77.637,0
1539629458.969,30.273,22.461,20.508,36.621,10.742,0
1539629458.973,21.973,28.809,27.344,29.785,33.203,0
1539629458.977,17.090,25.879,22.461,24.414,7.324,0
1539629458.981,33.691,27.832,20.996,30.762,39.551,0
1539629458.985,38.086,30.762,20.020,25.879,73.730,0
1539629458.989,35.156,31.250,22.949,29.785,-8.301,0
1539629458.992,27.832,34.668,29.785,26.367,-4.883,0
1539629458.996,16.602,35.156,33.203,22.461,41.016,0
1539629459.000,20.020,32.227,30.273,37.598,40.039,0
1539629459.004,31.738,21.484,25.879,42.969,58.594,0
1539629459.008,25.879,24.414,24.902,29.785,84.961,0
1539629459.012,25.391,33.203,20.996,28.809,87.402,0
1539629459.016,39.062,28.320,22.461,38.574,74.707,0
1539629459.020,25.879,23.438,31.250,45.898,65.918,0
1539629459.024,21.484,24.414,33.691,36.621,35.645,0
1539629459.028,32.715,28.320,27.832,24.902,9.277,0
1539629459.032,36.133,29.785,27.832,27.344,78.125,0
1539629459.035,27.344,32.227,29.785,25.391,120.117,0
1539629459.039,20.508,32.227,25.391,27.344,78.125,0
1539629459.043,22.461,25.879,23.438,27.832,64.453,0
1539629459.047,29.297,24.902,28.809,27.832,7.324,0
1539629459.051,22.949,26.855,30.273,32.227,24.902,0
1539629459.055,17.090,31.250,17.090,25.879,70.801,0
1539629459.059,19.043,31.738,10.742,25.879,41.016,0
1539629459.063,20.508,30.762,19.531,16.602,9.766,0
1539629459.067,20.020,32.715,30.762,12.695,51.270,0
1539629459.071,14.160,30.762,28.809,19.043,119.629,0
1539629459.074,11.719,29.297,25.391,12.695,64.941,0
1539629459.078,10.742,32.227,26.367,15.137,-13.672,0
1539629459.082,18.066,32.227,19.043,15.137,11.230,0
1539629459.086,18.066,25.879,16.602,13.184,17.578,0
1539629459.090,11.719,25.879,20.020,5.371,-24.414,0
1539629459.094,7.812,27.832,18.555,6.836,-40.527,0
1539629459.098,15.137,28.809,19.043,14.160,3.418,0
1539629459.102,21.973,28.809,16.602,13.184,55.664,0
1539629459.106,11.719,24.414,14.160,12.695,64.941,0
1539629459.110,0.488,31.738,22.461,8.301,63.477,0
1539629459.114,13.184,41.016,26.367,12.695,28.320,0
1539629459.117,15.625,23.926,24.414,9.277,37.109,0
1539629459.121,10.254,20.508,25.391,1.465,33.203,0
1539629459.125,18.555,31.250,25.879,9.766,-4.883,0
1539629459.129,25.391,28.320,25.391,17.578,-10.254,0
1539629459.133,20.020,29.297,26.855,10.254,6.836,0
1539629459.137,14.160,31.250,28.320,9.766,25.391,0
1539629459.141,14.160,34.180,25.879,8.789,53.711,0
1539629459.145,4.883,39.062,22.461,4.395,24.414,0
1539629459.149,5.859,39.062,26.855,9.277,-11.230,0
1539629459.153,14.160,43.457,30.273,7.324,14.160,0
1539629459.157,2.930,43.457,25.879,-0.977,31.250,0
1539629459.160,-8.301,34.668,27.344,-6.836,56.641,0
1539629459.164,-9.766,41.504,25.391,-18.555,17.090,0
1539629459.168,-11.719,51.758,22.949,-15.625,13.672,0
1539629459.172,-11.230,48.340,31.250,-17.578,42.969,0
1539629459.176,-25.879,36.133,27.344,-25.879,6.836,0
1539629459.180,-30.273,31.250,23.926,-24.414,10.254,0
1539629459.184,-10.254,37.598,32.227,-16.113,35.156,0
1539629459.188,-7.324,43.457,37.598,-6.836,30.762,0
1539629459.192,-18.066,41.504,28.320,-16.113,-8.789,0
1539629459.196,-15.625,43.457,32.227,-14.160,34.180,0
1539629459.199,13.672,47.363,39.551,-9.766,37.109,0
1539629459.203,21.973,37.109,25.879,-4.395,-15.625,0
1539629459.207,6.348,42.480,20.020,7.812,41.504,0
1539629459.211,10.254,44.922,21.973,16.113,44.922,0
1539629459.215,11.719,36.133,21.973,10.742,33.203,0
1539629459.219,22.461,40.039,22.461,3.418,42.969,0
1539629459.223,30.762,38.086,19.531,22.461,23.438,0
1539629459.227,30.273,31.738,17.578,36.621,63.965,0
1539629459.231,36.133,34.180,22.461,30.273,42.969,0
1539629459.235,39.062,34.668,22.461,17.090,-2.441,0
1539629459.239,48.828,36.133,20.508,20.020,6.836,0
1539629459.242,43.457,35.645,19.043,26.367,-32.715,0
1539629459.246,27.832,33.203,15.137,23.438,-26.367,0
1539629459.250,35.645,33.203,13.672,24.902,17.090,0
1539629459.254,34.180,30.273,15.137,24.414,79.590,0
1539629459.258,29.785,28.809,22.461,25.879,109.863,0
1539629459.262,32.227,27.832,25.391,33.203,65.430,0
1539629459.266,39.062,31.738,17.090,34.668,52.246,0
1539629459.270,44.922,28.809,20.996,34.668,90.820,0
1539629459.274,44.434,29.785,20.508,41.016,83.008,0
1539629459.278,45.410,39.062,18.066,40.527,-12.207,0
1539629459.282,46.875,25.391,21.973,31.738,-57.617,0
1539629459.285,39.551,22.949,19.531,36.133,10.254,0
1539629459.289,37.109,29.785,16.602,38.086,29.297,0
1539629459.293,41.016,30.273,20.508,37.598,30.762,0
1539629459.297,42.480,38.574,24.414,34.180,57.129,0
1539629459.301,50.781,39.551,24.414,39.062,46.387,0
1539629459.305,47.363,36.133,19.531,35.156,60.547,0
1539629459.309,38.574,41.504,18.066,31.738,49.805,0
1539629459.313,41.992,39.062,19.531,35.156,49.805,0
1539629459.317,43.457,27.832,25.391,33.203,31.250,0
1539629459.321,42.969,24.414,31.738,37.598,-27.344,0
1539629459.324,43.945,35.156,33.203,38.574,19.043,0
1539629459.328,45.410,36.133,22.461,39.062,103.027,0
1539629459.332,46.875,29.785,26.367,35.645,36.621,0
1539629459.336,37.109,28.809,25.879,38.086,4.395,0
