timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1539629012.024,37.598,39.551,31.738,6.836,55.664,1
1539629012.028,36.621,37.109,29.297,3.418,47.852,0
1539629012.032,29.785,34.180,32.227,9.766,68.848,0
1539629012.035,21.973,33.203,32.715,12.695,43.457,0
1539629012.039,28.809,34.180,35.645,13.184,-15.625,0
1539629012.043,29.297,28.809,38.086,13.672,-13.672,0
1539629012.047,34.668,25.391,32.227,8.789,43.457,0
1539629012.051,32.715,31.250,35.645,5.859,59.082,0
1539629012.055,11.230,34.180,42.969,8.789,3.418,0
1539629012.059,21.973,29.297,42.969,14.648,63.965,0
1539629012.063,28.809,23.926,37.598,8.789,41.504,0
1539629012.067,23.926,17.578,34.668,0.977,-25.391,0
1539629012.071,26.367,17.090,36.133,2.441,37.109,0
1539629012.074,20.996,24.902,34.180,0.488,12.695,0
1539629012.078,27.832,25.879,34.668,2.930,-14.160,0
1539629012.082,29.297,24.902,39.551,9.277,-1.465,0
1539629012.086,25.391,22.461,44.434,10.254,-9.277,0
1539629012.090,30.273,21.484,47.852,13.184,-2.441,0
1539629012.094,35.156,22.461,45.898,13.184,55.176,0
1539629012.098,27.344,19.043,43.457,3.418,82.520,0
1539629012.102,26.367,18.066,41.992,6.836,73.242,0
1539629012.106,32.715,24.902,38.086,19.043,78.613,0
1539629012.110,31.738,30.273,37.598,9.277,64.453,0
1539629012.114,28.320,27.832,37.598,-1.953,72.266,0
1539629012.117,24.902,29.297,34.180,3.418,88.379,0
1539629012.121,34.180,29.297,28.809,8.789,95.703,0
1539629012.125,36.133,28.320,34.180,8.789,42.969,0
1539629012.129,31.250,23.438,41.504,3.906,-12.207,0
1539629012.133,32.715,18.066,33.691,5.859,30.273,0
1539629012.137,32.227,22.461,33.203,19.531,61.035,0
1539629012.141,33.691,29.297,38.574,11.719,37.598,0
1539629012.145,27.344,30.273,38.574,12.207,39.062,0
1539629012.149,28.809,26.367,35.645,15.625,48.828,0
1539629012.153,33.203,29.785,36.133,10.254,32.227,0
1539629012.157,30.762,31.250,40.527,13.184,12.695,0
1539629012.160,36.133,27.344,38.574,6.348,20.508,0
1539629012.164,31.738,27.344,38.574,8.789,9.277,0
1539629012.168,19.043,28.809,39.551,8.789,17.578,0
1539629012.172,22.461,24.902,34.180,0.977,51.270,0
1539629012.176,37.109,25.391,33.691,5.371,-3.418,0
1539629012.180,37.598,24.414,33.203,7.324,-36.133,0
1539629012.184,32.715,24.414,33.691,10.254,15.137,0
1539629012.188,30.273,27.832,35.156,0.000,65.918,0
1539629012.192,25.391,30.273,31.738,-7.324,85.449,0
1539629012.196,23.926,33.203,32.227,0.977,54.688,0
1539629012.199,22.461,25.391,33.691,1.953,62.500,0
1539629012.203,27.832,25.391,33.691,1.953,73.242,0
1539629012.207,31.738,33.203,34.180,-0.488,14.160,0
1539629012.211,25.879,31.250,41.504,-1.953,13.672,0
1539629012.215,17.090,32.227,45.410,5.371,22.949,0
1539629012.219,24.414,31.250,39.551,2.441,9.766,0
1539629012.223,36.621,27.832,41.016,3.418,23.438,0
1539629012.227,37.109,32.715,46.387,0.977,62.012,0
1539629012.231,32.715,35.645,52.246,-4.395,42.969,0
1539629012.235,25.391,29.297,52.734,-8.789,4.883,0
1539629012.239,24.902,27.832,50.293,-6.348,23.926,0
1539629012.242,30.273,29.785,48.828,2.441,27.344,0
1539629012.246,25.391,27.832,47.363,5.371,24.414,0
1539629012.250,20.508,28.809,43.457,4.883,22.949,0
1539629012.254,18.066,34.180,40.527,-1.465,26.367,0
1539629012.258,31.738,32.227,43.945,7.812,40.039,0
1539629012.262,41.504,25.879,45.898,22.461,-1.953,0
1539629012.266,39.062,25.879,43.945,15.137,43.945,0
1539629012.270,34.180,29.297,44.922,-1.465,87.402,0
1539629012.274,17.090,31.250,48.828,-7.324,21.484,0
1539629012.278,16.113,36.133,47.852,-8.789,-39.062,0
1539629012.282,23.438,41.504,42.480,0.488,-26.855,0
1539629012.285,34.180,42.969,40.527,3.906,19.043,0
1539629012.289,39.551,39.551,41.992,7.324,50.781,0
1539629012.293,35.156,35.156,45.898,12.695,72.754,0
1539629012.297,36.621,34.668,46.875,11.719,25.391,0
1539629012.301,38.574,36.133,44.434,16.602,-18.555,0
1539629012.305,33.691,37.109,42.969,18.555,-14.648,0
1539629012.309,37.109,37.598,44.922,18.555,-3.906,0
1539629012.313,43.945,34.668,53.711,15.137,49.316,0
1539629012.317,34.668,36.133,52.734,14.160,27.832,0
1539629012.321,31.738,36.133,45.898,13.672,-2.930,0
1539629012.324,33.691,34.668,47.852,11.719,5.859,0
1539629012.328,35.645,31.738,50.293,7.812,-1.465,0
1539629012.332,33.691,31.250,52.734,1.465,13.184,0
1539629012.336,28.320,33.691,52.246,5.859,-1.465,0
1539629012.340,23.438,29.297,48.340,10.742,9.277,0
1539629012.344,25.879,27.832,42.480,8.301,50.293,0
1539629012.348,25.879,29.785,41.504,2.930,43.457,0
1539629012.352,26.855,29.297,42.480,2.441,76.660,0
1539629012.356,32.227,29.297,41.992,1.953,60.059,0
1539629012.360,26.855,28.320,43.457,-1.465,32.715,0
1539629012.364,33.203,25.879,40.039,1.465,36.621,0
1539629012.367,30.762,28.809,40.039,4.395,23.926,0
1539629012.371,14.160,30.762,39.551,0.000,9.277,0
1539629012.375,17.578,32.227,36.621,-7.812,1.953,0
1539629012.379,24.902,28.809,41.992,-6.836,41.016,0
1539629012.383,27.832,30.273,44.434,-11.719,33.691,0
1539629012.387,21.973,28.320,47.852,-9.277,-9.766,0
1539629012.391,16.602,22.461,47.363,-7.324,1.953,0
1539629012.395,20.020,22.461,40.527,-6.348,52.246,0
1539629012.399,20.996,20.996,44.922,0.488,113.770,0
1539629012.403,16.602,22.461,48.340,1.953,125.000,0
1539629012.407,11.230,24.414,43.945,12.695,22.461,0
1539629012.410,16.113,23.926,43.945,7.324,23.926,0
1539629012.414,20.020,22.461,51.270,1.465,47.852,0
1539629012.418,17.578,24.414,51.758,7.324,58.594,0
1539629012.422,21.484,28.809,48.340,7.812,58.594,0
1539629012.426,33.691,27.344,49.316,6.348,43.457,0
1539629012.430,30.762,22.461,51.270,0.977,66.895,0
1539629012.434,31.738,21.973,49.805,14.160,77.637,0
1539629012.438,35.156,28.320,41.992,13.672,36.133,0
1539629012.442,26.855,28.320,41.504,2.930,6.348,0
1539629012.446,25.879,30.273,55.176,3.906,8.789,0
1539629012.449,26.855,32.227,51.270,7.812,-30.762,0
1539629012.453,27.832,33.691,46.387,11.719,29.297,0
1539629012.457,29.297,35.156,51.270,5.859,47.852,0
1539629012.461,32.227,34.668,51.758,-0.488,0.488,0
1539629012.465,32.715,40.527,53.223,-2.930,2.441,0
1539629012.469,38.086,38.574,55.176,11.719,70.801,0
1539629012.473,41.992,33.691,61.523,21.484,67.383,0
1539629012.477,37.598,31.250,64.941,7.324,72.266,0
1539629012.481,39.062,30.762,64.453,0.488,62.500,0
1539629012.485,34.668,35.645,62.988,13.672,-12.695,0
1539629012.489,27.832,35.156,62.988,11.230,28.320,0
1539629012.492,38.086,33.691,62.012,5.371,35.156,0
1539629012.496,41.504,33.691,58.594,5.859,-10.742,0
1539629012.500,31.250,32.227,61.035,10.742,17.090,0
1539629012.504,32.715,31.250,62.012,19.043,38.574,0
1539629012.508,31.250,27.832,64.941,0.977,19.043,0
1539629012.512,30.762,30.273,74.219,0.977,23.438,0
1539629012.516,36.621,32.227,75.195,9.277,45.898,0
1539629012.520,35.156,32.715,73.730,5.859,83.008,0
1539629012.524,32.227,32.227,73.242,2.930,107.910,0
1539629012.528,30.273,25.879,69.336,1.465,84.961,0
1539629012.532,25.879,25.391,75.195,4.883,8.789,0
1539629012.535,24.414,26.855,81.055,12.207,72.266,0
1539629012.539,29.785,28.809,81.543,16.113,78.613,0
1539629012.543,30.762,27.832,89.844,11.719,-6.348,0
1539629012.547,28.809,26.367,87.891,7.324,-3.418,0
1539629012.551,30.273,31.250,82.031,17.090,16.602,0
1539629012.555,28.809,33.203,84.473,14.160,17.090,0
1539629012.559,36.621,31.250,82.031,11.230,7.324,0
1539629012.563,42.969,29.785,88.379,11.719,11.719,0
1539629012.567,31.250,30.762,96.191,11.719,14.648,0
1539629012.571,23.926,33.203,97.168,17.090,47.852,0
1539629012.574,33.691,33.691,106.445,12.695,44.434,0
1539629012.578,30.762,33.691,111.328,10.254,20.508,0
1539629012.582,31.250,34.668,114.258,10.742,49.805,0
1539629012.586,35.645,33.203,115.234,12.695,42.969,0
1539629012.590,33.691,35.156,115.234,21.973,62.012,0
1539629012.594,38.086,35.156,118.164,25.879,65.430,0
1539629012.598,35.156,31.250,122.070,11.230,55.664,0
1539629012.602,30.273,30.762,122.559,8.789,27.344,0
1539629012.606,23.438,31.738,122.070,12.695,-1.953,0
1539629012.610,25.391,28.320,123.047,2.441,44.434,0
1539629012.614,35.156,31.738,118.164,4.883,44.434,0
1539629012.617,36.621,31.738,115.234,16.113,76.172,0
1539629012.621,40.039,29.785,106.934,23.438,83.008,0
1539629012.625,37.598,35.156,99.121,20.020,55.176,0
1539629012.629,31.738,36.133,97.656,7.812,66.406,0
1539629012.633,24.902,34.668,91.797,0.977,29.297,0
1539629012.637,20.020,34.180,89.355,5.859,-27.832,0
1539629012.641,20.508,31.250,83.008,6.836,-29.785,0
1539629012.645,26.855,32.715,76.660,7.812,4.883,0
1539629012.649,28.320,28.320,77.637,10.742,14.160,0
1539629012.653,23.926,22.949,76.172,7.812,-4.395,0
1539629012.657,30.273,26.855,70.312,9.766,-32.715,0
1539629012.660,35.645,33.691,67.383,4.883,-15.625,0
1539629012.664,32.227,35.156,68.359,3.906,3.906,0
